,0
0,season
1,week
2,start
3,end
4,Team
5,average-scoring-margin
6,yards-per-point
7,yards-per-point-margin
8,points-per-play
9,points-per-play-margin
10,touchdowns-per-game
11,red-zone-scoring-attempts-per-game
12,red-zone-scores-per-game
13,red-zone-scoring-pct
14,extra-point-attempts-per-game
15,extra-points-made-per-game
16,two-point-conversion-attempts-per-game
17,two-point-conversions-per-game
18,points-per-field-goal-attempt
19,extra-point-conversion-pct
20,two-point-conversion-pct
21,offensive-touchdowns-per-game
22,defensive-touchdowns-per-game
23,special-teams-touchdowns-per-game
24,offensive-points-per-game
25,defensive-points-per-game
26,special-teams-points-per-game
27,offensive-point-share-pct
28,2nd-quarter-points-per-game
29,3rd-quarter-points-per-game
30,4th-quarter-points-per-game
31,overtime-points-per-game
32,1st-half-points-per-game
33,2nd-half-points-per-game
34,1st-quarter-time-of-possession-share-pct
35,2nd-quarter-time-of-possession-share-pct
36,3rd-quarter-time-of-possession-share-pct
37,4th-quarter-time-of-possession-share-pct
38,1st-half-time-of-possession-share-pct
39,2nd-half-time-of-possession-share-pct
40,plays-per-game
41,yards-per-play
42,first-downs-per-game
43,third-downs-per-game
44,third-down-conversions-per-game
45,fourth-downs-per-game
46,fourth-down-conversions-per-game
47,average-time-of-possession-net-of-ot
48,time-of-possession-pct-net-of-ot
49,seconds-per-play
50,first-downs-per-play
51,third-down-conversion-pct
52,fourth-down-conversion-pct
53,punts-per-play
54,punts-per-offensive-score
55,opponent-tackles-per-game
56,opponent-solo-tackles-per-game
57,opponent-assisted-tackles-per-game
58,rushing-attempts-per-game
59,rushing-yards-per-game
60,rushing-first-downs-per-game
61,rushing-touchdowns-per-game
62,yards-per-rush-attempt
63,rushing-play-pct
64,rushing-touchdown-pct
65,rushing-first-down-pct
66,rushing-yards-pct
67,pass-attempts-per-game
68,completions-per-game
69,incompletions-per-game
70,completion-pct
71,passing-yards-per-game
72,gross-passing-yards-per-game
73,yards-per-pass-attempt
74,yards-per-completion
75,passing-touchdowns-per-game
76,passing-touchdown-pct
77,qb-sacked-per-game
78,qb-sacked-pct
79,passing-first-downs-per-game
80,passing-first-down-pct
81,average-team-passer-rating
82,passing-play-pct
83,passing-yards-pct
84,other-touchdowns-per-game
85,field-goal-attempts-per-game
86,field-goals-made-per-game
87,field-goals-got-blocked-per-game
88,kicking-points-per-game
89,punt-attempts-per-game
90,punts-got-blocked-per-game
91,gross-punt-yards-per-game
92,net-punt-yards-per-game
93,kickoffs-per-game
94,touchbacks-per-game
95,kickoff-touchback-pct
96,field-goal-conversion-pct
97,field-goal-got-blocked-pct
98,field-goal-conversion-pct-net-of-blocks
99,punt-blocked-pct
100,net-yards-per-punt-attempt
101,gross-yards-per-successful-punt
102,net-yards-per-successful-punt
103,opponent-points-per-game
104,opp-yards-per-point
105,opponent-points-per-play
106,opponent-touchdowns-per-game
107,opponent-red-zone-scoring-attempts-per-game
108,opponent-red-zone-scores-per-game
109,opponent-red-zone-scoring-pct
110,opponent-extra-point-attempts-per-game
111,opponent-extra-points-made-per-game
112,opponent-two-point-conversion-attempts-per-game
113,opponent-two-point-conversions-per-game
114,opponent-points-per-field-goal-attempt
115,opponent-extra-point-conversion-pct
116,opponent-two-point-conversion-pct
117,opponent-offensive-touchdowns-per-game
118,opponent-defensive-touchdowns-per-game
119,opponent-special-teams-touchdowns-per-game
120,opponent-offensive-points-per-game
121,opponent-defensive-points-per-game
122,opponent-special-teams-points-per-game
123,opponent-offensive-point-share-pct
124,opp-1st-quarter-points-per-game
125,opp-2nd-quarter-points-per-game
126,opp-3rd-quarter-points-per-game
127,opp-4th-quarter-points-per-game
128,opp-overtime-points-per-game
129,opponent-1st-half-points-per-game
130,opponent-2nd-half-points-per-game
131,opponent-yards-per-game
132,opponent-plays-per-game
133,opponent-yards-per-play
134,opponent-first-downs-per-game
135,opponent-third-downs-per-game
136,opponent-third-down-conversions-per-game
137,opponent-fourth-downs-per-game
138,opponent-fourth-down-conversions-per-game
139,opponent-average-time-of-possession-net-of-ot
140,opponent-time-of-possession-pct-net-of-ot
141,opponent-seconds-per-play
142,opponent-first-downs-per-play
143,opponent-third-down-conversion-pct
144,opponent-fourth-down-conversion-pct
145,opponent-punts-per-play
146,opponent-punts-per-offensive-score
147,tackles-per-game
148,solo-tackles-per-game
149,assisted-tackles-per-game
150,opponent-rushing-attempts-per-game
151,opponent-rushing-yards-per-game
152,opponent-rushing-first-downs-per-game
153,opponent-rushing-touchdowns-per-game
154,opponent-yards-per-rush-attempt
155,opponent-rushing-play-pct
156,opponent-rushing-touchdown-pct
157,opponent-rushing-first-down-pct
158,opponent-rushing-yards-pct
159,opponent-pass-attempts-per-game
160,opponent-completions-per-game
161,opponent-incompletions-per-game
162,opponent-completion-pct
163,opponent-passing-yards-per-game
164,opponent-gross-passing-yards-per-game
165,opponent-yards-per-pass-attempt
166,opponent-yards-per-completion
167,opponent-passing-first-downs-per-game
168,opponent-passing-touchdowns-per-game
169,opponent-passing-touchdown-pct
170,opponent-average-team-passer-rating
171,sack-pct
172,opponent-passing-play-pct
173,opponent-passing-yards-pct
174,sacks-per-game
175,opponent-passing-first-down-pct
176,opponent-other-touchdowns-per-game
177,opponent-field-goal-attempts-per-game
178,opponent-field-goals-made-per-game
179,field-goals-blocked-per-game
180,opponent-kicking-points-per-game
181,opponent-punt-attempts-per-game
182,punts-blocked-per-game
183,opponent-gross-punt-yards-per-game
184,opponent-net-punt-yards-per-game
185,opponent-kickoffs-per-game
186,opponent-touchbacks-per-game
187,opponent-kickoff-touchback-pct
188,opponent-field-goal-conversion-pct
189,block-field-goal-pct
190,opponent-field-goal-conversion-pct-net-of-blocks
191,block-punt-pct
192,opponent-net-yards-per-punt-attempt
193,opponent-gross-yards-per-successful-punt
194,opponent-net-yards-per-successful-punt
195,interceptions-thrown-per-game
196,percent-of-games-with-an-interception-thrown
197,fumbles-per-game
198,fumbles-lost-per-game
199,fumbles-not-lost-per-game
200,safeties-per-game
201,giveaways-per-game
202,turnover-margin-per-game
203,interceptions-per-game
204,percent-of-games-with-an-interception
205,opponent-fumbles-per-game
206,opponent-fumbles-lost-per-game
207,opponent-fumbles-not-lost-per-game
208,opponent-safeties-per-game
209,takeaways-per-game
210,pass-intercepted-pct
211,fumble-recovery-pct
212,giveaway-fumble-recovery-pct
213,takeaway-fumble-recovery-pct
214,interception-pct
215,opponent-fumble-recovery-pct
216,opponent-giveaway-fumble-recovery-pct
217,opponent-takeaway-fumble-recovery-pct
218,penalties-per-game
219,penalty-yards-per-game
220,penalty-first-downs-per-game
221,opponent-penalties-per-game
222,opponent-penalty-yards-per-game
223,opponent-penalty-first-downs-per-game
224,penalty-yards-per-penalty
225,penalties-per-play
226,opponent-penalty-yards-per-penalty
227,opponent-penalties-per-play
