,predicted,actual
0,0.3667,0.375
1,0.2436,0.25
2,0.5565,0.529
3,0.6847,0.688
4,0.3715,0.375
5,0.5044,0.5
6,0.0689,0.063
7,0.4086,0.406
8,0.3713,0.375
9,0.4141,0.412
10,0.8639,0.875
11,0.6853,0.688
12,0.1787,0.176
13,0.6144,0.625
14,0.4902,0.5
15,0.3734,0.375
16,0.6273,0.625
17,0.5505,0.563
18,0.0093,0.0
19,0.7027,0.706
20,0.3536,0.353
21,0.4306,0.438
22,0.4343,0.438
23,0.8061,0.813
24,0.559,0.563
25,0.2295,0.235
26,0.8033,0.813
27,0.4663,0.471
28,0.1623,0.125
29,0.3698,0.375
30,0.2675,0.25
31,0.4123,0.412
32,0.3069,0.313
33,0.4948,0.5
34,0.4386,0.438
35,0.6847,0.688
36,0.5565,0.563
37,0.4951,0.5
38,0.6249,0.625
39,0.4368,0.438
40,0.2515,0.25
41,0.4675,0.471
42,0.3097,0.313
43,0.4928,0.5
44,0.373,0.375
45,0.328,0.313
46,0.5009,0.5
47,0.3093,0.313
48,0.4346,0.438
49,0.5795,0.588
50,0.3716,0.375
51,0.7171,0.75
52,0.5688,0.563
53,0.7056,0.706
54,0.8166,0.813
55,0.3143,0.313
56,0.1235,0.118
57,0.4829,0.5
58,0.3667,0.375
59,0.0652,0.063
60,0.2346,0.235
61,0.5785,0.594
62,0.2407,0.25
63,0.5044,0.5
64,0.435,0.438
65,0.7541,0.765
66,0.2467,0.25
67,0.687,0.688
68,0.4626,0.469
69,0.3135,0.313
70,0.6222,0.625
71,0.4364,0.438
72,0.8152,0.813
73,0.5292,0.531
74,0.3714,0.375
75,0.1917,0.188
76,0.435,0.438
77,0.3117,0.313
78,0.4339,0.438
79,0.4399,0.438
80,0.4386,0.438
81,0.5139,0.5
82,0.5579,0.559
83,0.736,0.813
84,0.4721,0.469
85,0.5436,0.563
86,0.7434,0.75
87,0.7931,0.813
88,0.26,0.25
89,0.4851,0.5
90,0.3714,0.375
91,0.3688,0.375
92,0.3536,0.353
93,0.7947,0.813
94,0.8041,0.813
95,0.6803,0.688
96,0.376,0.375
97,0.2358,0.25
98,0.8127,0.813
99,0.8058,0.813
100,0.7359,0.75
101,0.741,0.75
102,0.6845,0.688
103,0.7971,0.813
104,0.5976,0.529
105,0.5282,0.529
106,0.4915,0.5
107,0.2985,0.313
108,0.3779,0.375
109,0.7947,0.813
110,0.5645,0.563
111,0.4994,0.5
112,0.6097,0.625
113,0.3057,0.313
114,0.5268,0.529
115,0.5232,0.529
116,0.6997,0.706
117,0.6803,0.688
118,0.1623,0.125
119,0.5653,0.563
120,0.6213,0.625
121,0.1854,0.188
122,0.6853,0.688
123,0.6097,0.625
124,0.3753,0.375
125,0.7952,0.813
126,0.5578,0.563
127,0.2475,0.25
128,0.6873,0.688
129,0.5157,0.529
130,0.5139,0.5
131,0.3712,0.375
132,0.5578,0.563
133,0.4851,0.5
134,0.8134,0.824
135,0.5588,0.563
136,0.4322,0.438
137,0.6224,0.625
138,0.6174,0.625
139,0.5061,0.5
140,0.328,0.313
141,0.2225,0.235
142,0.4829,0.5
143,0.3091,0.313
