season,team,1st-half-points-per-game,1st-half-time-of-possession-share-pct,2nd-half-points-per-game,2nd-half-time-of-possession-share-pct,average-scoring-margin,average-team-passer-rating,average-time-of-possession-net-of-ot,completion-pct,defensive-touchdowns-per-game,field-goal-attempts-per-game,field-goals-made-per-game,first-downs-per-game,fourth-down-conversion-pct,fourth-down-conversions-per-game,fumble-recovery-pct,fumbles-lost-per-game,giveaways-per-game,interception-pct,interceptions-per-game,interceptions-thrown-per-game,net-yards-per-punt-attempt,offensive-touchdowns-per-game,opponent-1st-half-points-per-game,opponent-2nd-half-points-per-game,opponent-average-team-passer-rating,opponent-average-time-of-possession-net-of-ot,opponent-completion-pct,opponent-defensive-touchdowns-per-game,opponent-field-goal-attempts-per-game,opponent-field-goals-made-per-game,opponent-first-downs-per-game,opponent-fourth-down-conversion-pct,opponent-fourth-down-conversions-per-game,opponent-net-punt-yards-per-game,opponent-net-yards-per-punt-attempt,opponent-offensive-touchdowns-per-game,opponent-pass-attempts-per-game,opponent-passing-first-down-pct,opponent-passing-first-downs-per-game,opponent-passing-touchdown-pct,opponent-passing-touchdowns-per-game,opponent-passing-yards-per-game,opponent-penalty-first-downs-per-game,opponent-plays-per-game,opponent-points-per-game,opponent-points-per-play,opponent-punt-attempts-per-game,opponent-punts-per-offensive-score,opponent-punts-per-play,opponent-red-zone-scores-per-game,opponent-red-zone-scoring-attempts-per-game,opponent-rushing-attempts-per-game,opponent-rushing-first-down-pct,opponent-rushing-first-downs-per-game,opponent-rushing-play-pct,opponent-rushing-touchdown-pct,opponent-rushing-touchdowns-per-game,opponent-rushing-yards-pct,opponent-rushing-yards-per-game,opponent-third-down-conversion-pct,opponent-third-down-conversions-per-game,opponent-touchdowns-per-game,opponent-two-point-conversion-pct,opponent-yards-per-completion,opponent-yards-per-game,opponent-yards-per-pass-attempt,opponent-yards-per-play,opponent-yards-per-rush-attempt,pass-intercepted-pct,passing-play-pct,passing-touchdowns-per-game,passing-yards-per-game,penalties-per-game,penalty-first-downs-per-game,penalty-yards-per-game,plays-per-game,points-per-play,points-per-play-margin,punt-attempts-per-game,qb-sacked-pct,qb-sacked-per-game,red-zone-scoring-attempts-per-game,red-zone-scoring-pct,rushing-attempts-per-game,rushing-first-downs-per-game,rushing-play-pct,rushing-touchdown-pct,rushing-touchdowns-per-game,rushing-yards-per-game,sack-pct,sacks-per-game,special-teams-touchdowns-per-game,takeaways-per-game,third-down-conversion-pct,third-down-conversions-per-game,touchdowns-per-game,turnover-margin-per-game,two-point-conversion-pct,yards-per-completion,yards-per-pass-attempt,yards-per-play,yards-per-rush-attempt
2003,Arizona,6.9,50.39%,7.0,48.54%,-14.2,69.0,29:39,56.74%,0.1,1.6,1.1,16.0,45.45%,0.6,50.00%,0.9,2.3,2.62%,0.8,1.4,34.4,1.4,14.6,13.4,93.7,30:20,62.58%,0.4,1.8,1.3,20.4,37.50%,0.2,152.4,36.4,2.9,31.1,56.44%,11.5,52.73%,1.8,224.4,1.4,62.1,28.3,0.455,4.2,0.9,0.07,2.3,3.6,29.8,36.81%,7.5,47.94%,30.91%,1.1,34.77%,119.6,46.23%,5.8,3.4,0.00%,11.5,344.0,7.2,5.5,4.0,4.12%,58.82%,1.1,185.3,6.1,1.8,47.6,61.3,0.229,-0.226,5.2,7.45%,2.7,2.7,41.86%,25.3,5.0,41.18%,20.00%,0.3,96.1,3.87%,1.3,0.1,1.4,37.39%,5.2,1.6,-0.8,20.00%,9.8,6.1,4.6,3.8
2003,Atlanta,11.7,47.83%,6.6,44.27%,-7.7,58.7,27:39,50.00%,0.2,1.7,1.2,15.8,54.55%,0.4,50.00%,0.6,1.9,2.95%,0.9,1.3,36.0,1.9,12.3,13.9,94.0,32:20,63.58%,0.1,1.6,1.2,20.8,35.71%,0.3,174.0,34.0,3.1,31.8,56.16%,11.7,54.90%,1.8,237.5,1.5,65.2,26.4,0.405,5.1,1.2,0.08,2.4,4.1,31.2,36.64%,7.6,47.84%,41.18%,1.3,37.80%,144.3,39.81%,5.4,3.2,66.67%,11.8,381.8,7.5,5.9,4.6,4.57%,53.23%,0.9,150.5,5.6,1.6,49.4,58.1,0.322,-0.083,5.4,7.07%,2.2,2.9,52.17%,27.2,6.2,46.77%,48.57%,1.1,121.8,6.62%,2.3,0.1,1.9,29.90%,3.6,2.2,0.0,0.00%,10.5,5.7,4.7,4.5
2003,Baltimore,9.5,50.98%,14.2,48.80%,6.3,64.1,29:49,52.43%,0.4,2.4,2.1,15.9,63.64%,0.4,52.24%,1.1,2.4,4.87%,1.6,1.2,35.3,2.1,8.4,9.1,65.4,30:10,55.96%,0.1,1.9,1.8,15.5,29.41%,0.3,229.5,35.2,1.6,32.6,56.82%,8.8,66.67%,1.2,173.8,1.5,64.1,17.7,0.276,6.5,1.9,0.1,1.0,2.1,28.6,33.33%,5.2,44.72%,23.33%,0.4,36.68%,100.6,30.00%,4.4,1.8,100.00%,9.5,274.4,5.3,4.3,3.5,4.65%,46.62%,1.0,144.4,7.9,1.4,61.2,62.6,0.383,0.107,5.8,8.87%,2.6,2.9,42.00%,33.4,6.8,53.38%,41.86%,1.1,159.8,7.97%,2.8,0.1,2.6,31.51%,4.4,2.5,0.2,66.67%,10.4,6.0,4.9,4.8
2003,Buffalo,7.2,47.72%,7.6,51.16%,-2.3,69.4,29:38,58.37%,0.2,1.5,1.1,16.8,52.00%,0.8,46.55%,1.1,2.1,1.96%,0.6,1.1,34.1,1.5,9.2,8.3,76.6,30:21,56.19%,0.1,1.9,1.4,16.9,53.85%,0.4,187.1,32.2,1.8,31.8,57.04%,9.6,60.00%,1.1,169.3,1.6,63.1,17.4,0.276,5.8,1.8,0.09,1.4,2.8,28.9,33.70%,5.7,45.84%,36.67%,0.7,37.19%,100.3,38.22%,5.4,1.9,50.00%,9.5,269.6,5.3,4.3,3.5,3.39%,56.43%,0.7,167.8,6.6,1.4,55.7,61.3,0.248,-0.028,5.3,9.22%,3.2,2.6,43.90%,26.7,6.0,43.57%,48.15%,0.8,103.8,6.95%,2.4,0.0,1.1,31.60%,4.2,1.7,-1.0,0.00%,9.2,6.1,4.4,3.9
2003,Carolina,9.3,48.23%,10.8,54.21%,3.0,82.4,30:32,59.06%,0.2,2.5,2.1,17.8,54.55%,0.3,55.93%,0.8,1.7,3.74%,1.3,0.9,32.9,1.8,7.9,9.7,69.0,29:27,56.79%,0.3,2.1,1.5,17.1,40.91%,0.5,176.3,32.8,1.6,33.7,59.08%,10.1,51.35%,1.0,189.7,1.8,62.7,17.9,0.285,5.4,1.6,0.09,1.2,2.7,26.4,30.15%,5.2,42.11%,32.43%,0.6,35.62%,104.9,33.21%,4.6,1.9,33.33%,9.9,294.6,5.6,4.7,4.0,3.21%,46.78%,1.2,194.2,7.1,1.5,57.6,63.0,0.332,0.046,5.1,5.36%,1.6,2.6,40.00%,33.5,7.3,53.22%,30.00%,0.6,135.4,7.10%,2.6,0.1,1.8,36.74%,5.1,2.1,0.2,0.00%,11.8,7.4,5.2,4.0
2003,Chicago,7.6,45.16%,10.1,53.68%,-3.9,61.0,29:39,52.62%,0.1,2.3,1.6,16.5,65.22%,0.9,47.73%,0.6,1.8,2.86%,0.9,1.3,32.7,1.6,11.1,10.5,79.7,30:20,61.90%,0.1,2.4,1.9,18.1,40.00%,0.4,158.0,33.3,2.1,32.8,53.98%,9.8,55.56%,1.3,192.0,1.8,62.1,21.6,0.348,4.8,1.1,0.08,1.9,3.6,28.1,35.99%,6.5,45.22%,36.11%,0.8,37.90%,117.2,39.07%,5.3,2.3,100.00%,9.5,309.2,5.9,5.0,4.2,3.88%,55.74%,0.8,163.6,5.8,1.1,50.6,62.6,0.283,-0.066,5.1,7.71%,2.7,2.8,48.89%,27.7,6.5,44.26%,44.83%,0.8,110.2,3.49%,1.2,0.2,1.3,33.77%,4.8,1.8,-0.6,100.00%,9.7,5.6,4.4,4.0
2003,Cincinnati,12.4,51.53%,9.3,51.34%,-2.4,87.5,30:53,62.38%,0.1,1.6,1.4,19.6,45.45%,0.3,45.24%,0.4,1.4,2.76%,0.9,0.9,29.8,2.4,11.8,11.9,83.9,29:06,58.46%,0.1,2.1,1.8,20.0,64.29%,0.6,131.4,31.4,2.6,31.8,55.31%,11.1,53.49%,1.4,212.8,1.5,62.4,24.0,0.384,4.2,0.9,0.07,1.9,3.4,28.8,37.19%,7.4,46.15%,41.86%,1.1,39.34%,138.0,41.26%,5.3,2.7,50.00%,11.5,350.8,6.7,5.6,4.8,2.88%,53.81%,1.6,209.5,6.7,1.9,52.9,64.8,0.334,-0.051,4.8,6.63%,2.3,2.9,59.57%,29.9,6.3,46.19%,30.00%,0.8,124.2,5.58%,1.9,0.1,1.5,44.74%,6.4,2.5,0.1,--,10.3,6.9,5.1,4.1
2003,Cleveland,7.8,50.05%,8.1,47.82%,-4.3,75.2,29:27,61.49%,0.1,1.8,1.4,17.3,33.33%,0.4,44.44%,0.9,2.1,2.99%,0.9,1.1,34.7,1.6,11.0,8.9,72.9,30:32,59.16%,0.3,2.7,2.2,17.7,61.54%,0.5,167.8,35.3,1.7,31.4,56.54%,10.0,41.94%,0.8,178.0,1.4,62.1,20.1,0.324,4.8,1.2,0.08,1.1,2.8,28.6,35.34%,6.3,46.08%,45.16%,0.9,42.51%,131.6,39.19%,5.4,1.9,--,9.6,309.6,5.7,5.0,4.6,3.54%,57.13%,1.1,177.1,6.2,2.0,47.9,60.1,0.264,-0.06,4.6,7.29%,2.5,2.3,43.24%,25.8,5.7,42.87%,29.63%,0.5,104.4,6.34%,2.1,0.1,1.4,36.63%,4.6,1.7,-0.7,0.00%,9.1,6.1,4.7,4.1
2003,Dallas,10.6,52.78%,6.8,54.42%,0.6,70.3,31:56,57.59%,0.1,1.8,1.4,17.4,40.00%,0.4,57.69%,0.5,1.8,2.49%,0.8,1.3,34.6,1.7,8.1,8.9,69.8,28:03,49.43%,0.2,1.6,1.5,14.4,46.67%,0.4,243.6,37.6,1.6,30.7,55.74%,8.0,63.33%,1.1,170.6,2.0,58.9,17.0,0.289,6.5,2.0,0.11,0.9,2.2,26.1,30.33%,4.4,44.36%,26.67%,0.5,34.63%,90.4,30.99%,4.4,1.8,100.00%,11.2,260.9,5.6,4.4,3.5,4.02%,52.41%,1.0,193.8,5.9,1.3,49.9,65.9,0.267,-0.022,6.0,6.81%,2.4,2.6,44.44%,31.4,6.9,47.59%,37.50%,0.7,121.8,6.28%,2.1,0.1,1.5,35.69%,5.4,1.9,-0.4,--,10.5,6.4,4.8,3.9
2003,Denver,13.8,56.02%,9.0,57.07%,2.9,75.5,33:51,59.53%,0.1,2.0,1.7,20.8,33.33%,0.3,55.36%,0.4,1.6,1.71%,0.5,1.2,32.2,2.4,10.6,9.5,82.3,26:08,55.32%,0.2,1.8,1.6,15.5,46.15%,0.7,168.9,33.8,1.9,30.9,59.85%,9.3,59.46%,1.3,189.5,1.4,56.7,20.1,0.355,5.0,1.3,0.09,0.9,2.2,23.6,31.44%,4.9,41.70%,29.73%,0.6,34.41%,99.4,31.16%,3.9,2.2,66.67%,11.1,288.9,6.1,5.1,4.2,3.93%,48.51%,1.2,185.1,6.6,2.4,57.5,65.0,0.354,-0.001,4.2,5.04%,1.6,3.4,61.40%,33.5,8.4,51.49%,46.51%,1.2,163.2,6.41%,2.1,0.1,1.2,38.74%,5.1,2.5,-0.4,100.00%,10.4,6.5,5.4,4.9
