season,team,1st-half-points-per-game,1st-half-time-of-possession-share-pct,2nd-half-points-per-game,2nd-half-time-of-possession-share-pct,average-scoring-margin,average-team-passer-rating,average-time-of-possession-net-of-ot,completion-pct,defensive-touchdowns-per-game,field-goal-attempts-per-game,field-goals-made-per-game,first-downs-per-game,fourth-down-conversion-pct,fourth-down-conversions-per-game,fumble-recovery-pct,fumbles-lost-per-game,giveaways-per-game,interception-pct,interceptions-per-game,interceptions-thrown-per-game,net-yards-per-punt-attempt,offensive-touchdowns-per-game,opponent-1st-half-points-per-game,opponent-2nd-half-points-per-game,opponent-average-team-passer-rating,opponent-average-time-of-possession-net-of-ot,opponent-completion-pct,opponent-defensive-touchdowns-per-game,opponent-field-goal-attempts-per-game,opponent-field-goals-made-per-game,opponent-first-downs-per-game,opponent-fourth-down-conversion-pct,opponent-fourth-down-conversions-per-game,opponent-net-punt-yards-per-game,opponent-net-yards-per-punt-attempt,opponent-offensive-touchdowns-per-game,opponent-pass-attempts-per-game,opponent-passing-first-down-pct,opponent-passing-first-downs-per-game,opponent-passing-touchdown-pct,opponent-passing-touchdowns-per-game,opponent-passing-yards-per-game,opponent-penalty-first-downs-per-game,opponent-plays-per-game,opponent-points-per-game,opponent-points-per-play,opponent-punt-attempts-per-game,opponent-punts-per-offensive-score,opponent-punts-per-play,opponent-red-zone-scores-per-game,opponent-red-zone-scoring-attempts-per-game,opponent-rushing-attempts-per-game,opponent-rushing-first-down-pct,opponent-rushing-first-downs-per-game,opponent-rushing-play-pct,opponent-rushing-touchdown-pct,opponent-rushing-touchdowns-per-game,opponent-rushing-yards-pct,opponent-rushing-yards-per-game,opponent-third-down-conversion-pct,opponent-third-down-conversions-per-game,opponent-touchdowns-per-game,opponent-two-point-conversion-pct,opponent-yards-per-completion,opponent-yards-per-game,opponent-yards-per-pass-attempt,opponent-yards-per-play,opponent-yards-per-rush-attempt,pass-intercepted-pct,passing-play-pct,passing-touchdowns-per-game,passing-yards-per-game,penalties-per-game,penalty-first-downs-per-game,penalty-yards-per-game,plays-per-game,points-per-play,points-per-play-margin,punt-attempts-per-game,qb-sacked-pct,qb-sacked-per-game,red-zone-scoring-attempts-per-game,red-zone-scoring-pct,rushing-attempts-per-game,rushing-first-downs-per-game,rushing-play-pct,rushing-touchdown-pct,rushing-touchdowns-per-game,rushing-yards-per-game,sack-pct,sacks-per-game,special-teams-touchdowns-per-game,takeaways-per-game,third-down-conversion-pct,third-down-conversions-per-game,touchdowns-per-game,turnover-margin-per-game,two-point-conversion-pct,yards-per-completion,yards-per-pass-attempt,yards-per-play,yards-per-rush-attempt,percent
2024,Arizona,14.5,0.5094,9.5,0.4589999999999999,-2.5,104.6,29.05,0.6944,0.3,1.5,1.5,19.0,0.3333,0.5,0.625,0.8,1.0,0.0194,0.5,0.3,42.9,2.3,12.5,14.0,110.4,30.933333333333334,0.7864,0.0,1.3,1.3,22.3,0.5714,1.0,134.5,44.8,3.3,25.8,0.5056,11.3,0.3846,1.3,208.3,1.8,61.3,26.5,0.433,3.0,0.7,0.05,2.8,4.0,33.3,0.4157,9.3,0.5428999999999999,0.6154,2.0,0.413,146.5,0.4545,5.0,3.3,1.0,10.3,354.8,8.1,5.8,4.4,0.0093,0.5064,1.5,179.8,4.5,1.8,48.8,58.3,0.412,-0.021,3.0,0.0847,2.5,2.8,0.7273000000000001,28.8,8.8,0.4936,0.2727,0.8,153.3,0.0803999999999999,2.3,0.3,1.0,0.4318,4.8,2.8,0.0,1.0,9.6,7.2,5.7,5.3,0.25
2024,Atlanta,11.8,0.425,7.0,0.3925,-2.5,83.5,24.516666666666666,0.6470999999999999,0.5,2.3,2.3,17.5,0.5,0.8,0.7143,0.3,1.3,0.0233999999999999,0.8,1.0,40.7,1.3,10.8,10.5,87.2,35.46666666666667,0.7343999999999999,0.0,3.0,3.0,21.3,0.5714,1.0,113.3,41.2,1.8,32.0,0.4941,10.5,0.4286,0.8,191.0,0.8,69.0,21.3,0.308,2.8,0.6,0.04,1.8,3.8,36.0,0.4706,10.0,0.5217,0.5714,1.0,0.4324,145.5,0.4736999999999999,6.8,1.8,1.0,8.1,336.5,6.0,4.9,4.0,0.0336,0.5814,1.0,206.5,5.8,2.0,48.5,53.8,0.349,0.041,3.0,0.048,1.5,2.5,0.4,22.5,5.8,0.4185999999999999,0.1429,0.3,102.8,0.0302999999999999,1.0,0.0,1.0,0.2632,2.5,1.8,-0.3,0.0,10.7,7.3,5.8,4.6,0.6
2024,Baltimore,15.3,0.5499,11.3,0.5235,4.5,102.2,32.2,0.6697,0.0,2.0,1.3,23.0,0.6667000000000001,0.5,0.375,0.5,0.8,0.0135,0.5,0.3,41.0,3.0,7.0,15.0,90.7,27.8,0.6419,0.0,2.5,2.3,19.3,0.3333,0.3,157.3,39.3,2.3,37.0,0.6883,13.3,0.4443999999999999,1.0,257.5,3.0,59.3,22.0,0.371,4.0,0.9,0.07,1.8,3.0,19.0,0.1558,3.0,0.3207,0.5556,1.3,0.1832,57.8,0.3829999999999999,4.5,2.3,0.0,10.8,315.3,7.0,5.3,3.0,0.0092,0.4502,1.3,209.3,9.8,1.3,89.3,62.8,0.422,0.051,3.5,0.0354,1.0,3.5,0.7143,34.5,11.3,0.5498,0.5385,1.8,220.3,0.0807,3.3,0.0,1.0,0.4418999999999999,4.8,3.3,0.3,0,11.5,7.9,6.8,6.4,0.5
2024,Buffalo,17.8,0.4585,12.8,0.4982,9.8,115.0,28.7,0.6923,0.3,2.0,1.5,18.3,1.0,1.5,0.625,0.5,0.5,0.0296,1.0,0.0,41.0,3.5,12.8,8.0,78.1,31.3,0.637,0.0,1.0,1.0,19.8,0.3571,1.3,89.5,39.8,2.0,33.8,0.519,10.3,0.5,1.3,165.3,1.3,64.3,20.8,0.323,2.3,0.6,0.04,2.0,4.0,27.5,0.4177,8.3,0.428,0.3,0.8,0.4864,156.5,0.42,5.3,2.5,1.0,7.7,321.8,4.9,5.0,5.7,0.0,0.4955,1.8,195.5,5.0,1.8,38.8,55.0,0.555,0.232,3.0,0.0458999999999999,1.3,3.8,0.7333,27.8,7.3,0.5045000000000001,0.4667,1.8,110.3,0.0816,3.0,0.0,1.8,0.3571,3.8,3.8,1.3,0,10.9,7.9,5.6,4.0,0.75
2024,Carolina,9.5,0.496,8.8,0.455,-14.0,76.9,28.516666666666666,0.6074,0.0,1.5,1.5,16.5,0.3333,0.8,0.6667000000000001,0.3,1.3,0.0260999999999999,0.8,1.0,39.1,2.0,19.5,12.8,107.8,31.466666666666665,0.713,0.0,2.3,2.0,21.8,0.3333,0.3,137.8,42.4,3.8,28.8,0.5057,11.0,0.6,2.3,209.3,2.8,62.0,32.3,0.52,3.3,0.6,0.05,2.8,3.0,32.0,0.3678,8.0,0.5161,0.4,1.5,0.4155,148.8,0.4906,6.5,3.8,1.0,10.2,358.0,7.3,5.8,4.6,0.0296,0.5934,1.3,182.5,7.0,1.3,64.5,60.3,0.303,-0.217,4.5,0.0559,2.0,2.5,0.6,24.5,6.0,0.4065999999999999,0.375,0.8,108.5,0.0417,1.3,0.0,1.3,0.2917,3.5,2.0,0.0,0.0,8.9,5.8,4.8,4.4,0.25
2024,Chicago,5.8,0.4931,13.5,0.5094,0.5,72.0,30.066666666666663,0.617,0.3,2.0,1.8,17.3,0.7778,1.8,0.75,0.5,1.5,0.0426999999999999,1.3,1.0,42.1,1.5,11.5,7.3,69.0,29.916666666666668,0.6154,0.0,2.5,2.3,16.8,0.5,0.5,190.5,42.3,1.8,29.3,0.4775999999999999,8.0,0.2857,0.5,174.5,1.3,58.5,18.8,0.321,4.5,1.1,0.08,1.3,2.8,26.8,0.4478,7.5,0.4573,0.7143,1.3,0.4095,121.0,0.2941,3.8,1.8,0.0,9.7,295.5,6.0,5.1,4.5,0.0283999999999999,0.6109,0.8,165.8,7.5,3.0,56.0,64.3,0.3,-0.021,5.0,0.1018999999999999,4.0,2.3,0.5556,25.0,5.0,0.3890999999999999,0.375,0.8,87.3,0.0787,2.5,0.3,2.0,0.3333,5.0,2.0,0.5,0.5,7.6,5.6,3.9,3.5,0.5
2024,Cincinnati,12.5,0.466,13.0,0.4782,-0.5,105.9,28.316666666666663,0.7090000000000001,0.0,2.5,2.3,21.3,0.75,0.8,0.4443999999999999,0.8,1.0,0.0265,0.8,0.3,49.7,2.8,13.8,12.3,94.5,31.666666666666668,0.6990999999999999,0.3,1.8,1.8,20.5,0.75,1.5,107.5,47.8,2.8,28.3,0.4634,9.5,0.5,1.5,181.3,1.5,62.5,26.0,0.416,2.3,0.5,0.04,1.8,3.0,33.0,0.4634,9.5,0.528,0.4167,1.3,0.4453,145.5,0.413,4.8,3.0,0.0,9.2,326.8,6.4,5.2,4.4,0.0075,0.6147,1.8,236.0,5.0,1.8,36.0,57.8,0.442,0.026,2.3,0.0562999999999999,2.0,3.3,0.6154,22.3,7.0,0.3853,0.3636,1.0,102.3,0.0424,1.3,0.0,1.0,0.4468,5.3,2.8,0.0,0.0,9.9,7.3,5.9,4.6,0.25
2024,Cleveland,8.3,0.4763,8.3,0.5408,-5.3,74.4,30.5,0.6149,0.3,1.5,1.3,16.0,0.5832999999999999,1.8,0.5455,0.5,1.3,0.0,0.0,0.8,43.0,1.5,13.5,8.3,85.6,29.48333333333333,0.5868,0.0,2.5,2.0,17.8,1.0,0.3,209.5,41.9,2.0,30.3,0.5211,9.3,0.3333,0.8,175.8,1.3,59.8,21.8,0.364,5.0,1.2,0.08,1.8,3.0,26.8,0.4085,7.3,0.4477,0.5556,1.3,0.4122,123.3,0.3061,3.8,2.3,0,9.9,299.0,5.8,5.0,4.6,0.0203,0.6548999999999999,1.0,151.5,8.5,2.0,62.5,63.8,0.259,-0.105,5.8,0.1138,4.8,1.5,0.8332999999999999,22.0,6.3,0.3450999999999999,0.2857,0.5,94.8,0.0833,2.8,0.0,0.8,0.2075,2.8,1.8,-0.5,1.0,6.7,4.9,3.9,4.3,0.25
2024,Dallas,14.0,0.5207,10.3,0.3811,-1.8,92.5,27.05,0.6382,0.0,3.3,3.0,18.8,0.4,0.5,0.5714,0.3,0.8,0.0345,1.0,0.5,41.3,2.0,17.0,9.0,85.2,32.93333333333333,0.6552,0.0,2.0,1.8,19.8,0.6667000000000001,1.5,131.3,40.4,3.0,29.0,0.4557,9.0,0.3333,1.0,209.5,0.8,62.8,26.0,0.414,3.3,0.7,0.05,2.3,3.0,31.8,0.5063,10.0,0.506,0.6667000000000001,2.0,0.4103,145.8,0.3333,4.0,3.0,0,11.0,355.3,7.2,5.7,4.6,0.0132,0.6559,1.5,255.5,8.0,2.0,61.0,61.8,0.393,-0.022,3.5,0.0617,2.5,2.3,0.5556,21.3,4.8,0.3440999999999999,0.2221999999999999,0.5,75.3,0.0645,2.0,0.3,1.0,0.4,5.0,2.3,0.3,0.0,10.5,7.1,5.4,3.5,0.5
2024,Denver,8.3,0.5078,7.3,0.4865,1.8,62.5,29.816666666666663,0.6014,0.0,2.8,2.5,14.0,0.6667000000000001,1.0,0.5,0.8,1.8,0.0167,0.5,1.0,44.2,1.0,8.0,5.8,82.5,30.166666666666668,0.6667000000000001,0.0,2.0,1.8,17.0,0.0,0.0,252.8,42.1,1.3,30.0,0.5735,9.8,0.6,0.8,146.0,3.0,61.0,13.8,0.225,6.0,2.0,0.1,0.5,1.8,27.0,0.25,4.3,0.4426,0.4,0.5,0.4307999999999999,110.5,0.283,3.8,1.3,0.0,7.3,256.5,4.9,4.2,4.1,0.0289999999999999,0.5796,0.3,159.8,6.8,0.3,77.3,61.3,0.253,0.028,6.0,0.0282,1.0,3.0,0.3333,25.8,7.5,0.4204,0.75,0.8,106.3,0.1176,4.0,0.0,1.3,0.2455999999999999,3.5,1.0,-0.5,0,7.7,4.8,4.3,4.1,0.5
