season,week,start,end
2003,1,2003-09-04,2003-09-08
2003,2,2003-09-14,2003-09-15
2003,3,2003-09-21,2003-09-22
2003,4,2003-09-28,2003-09-29
2003,5,2003-10-05,2003-10-06
2003,6,2003-10-12,2003-10-13
2003,7,2003-10-19,2003-10-20
2003,8,2003-10-26,2003-10-27
2003,9,2003-11-02,2003-11-03
2003,10,2003-11-09,2003-11-10
2003,11,2003-11-16,2003-11-17
2003,12,2003-11-23,2003-11-24
2003,13,2003-11-27,2003-12-01
2003,14,2003-12-07,2003-12-08
2003,15,2003-12-14,2003-12-15
2003,16,2003-12-20,2003-12-22
2003,17,2003-12-27,2003-12-28
2003,18,2004-01-03,2004-01-04
2003,19,2004-01-10,2004-01-11
2003,20,2004-01-18,2004-01-18
2003,21,2004-02-01,2004-02-01
2004,1,2004-09-09,2004-09-13
2004,2,2004-09-19,2004-09-20
2004,3,2004-09-26,2004-09-27
2004,4,2004-10-03,2004-10-04
2004,5,2004-10-10,2004-10-11
2004,6,2004-10-17,2004-10-18
2004,7,2004-10-24,2004-10-25
2004,8,2004-10-31,2004-11-01
2004,9,2004-11-07,2004-11-08
2004,10,2004-11-14,2004-11-15
2004,11,2004-11-21,2004-11-22
2004,12,2004-11-25,2004-11-29
2004,13,2004-12-05,2004-12-06
2004,14,2004-12-12,2004-12-13
2004,15,2004-12-18,2004-12-20
2004,16,2004-12-24,2004-12-27
2004,17,2005-01-02,2005-01-02
2004,18,2005-01-08,2005-01-09
2004,19,2005-01-15,2005-01-16
2004,20,2005-01-23,2005-01-23
2004,21,2005-02-06,2005-02-06
2005,1,2005-09-08,2005-09-12
2005,2,2005-09-18,2005-09-19
2005,3,2005-09-25,2005-09-26
2005,4,2005-10-02,2005-10-03
2005,5,2005-10-09,2005-10-10
2005,6,2005-10-16,2005-10-17
2005,7,2005-10-21,2005-10-24
2005,8,2005-10-30,2005-10-31
2005,9,2005-11-06,2005-11-07
2005,10,2005-11-13,2005-11-14
2005,11,2005-11-20,2005-11-21
2005,12,2005-11-24,2005-11-28
2005,13,2005-12-04,2005-12-05
2005,14,2005-12-11,2005-12-12
2005,15,2005-12-17,2005-12-19
2005,16,2005-12-24,2005-12-26
2005,17,2005-12-31,2006-01-01
2005,18,2006-01-07,2006-01-08
2005,19,2006-01-14,2006-01-15
2005,20,2006-01-22,2006-01-22
2005,21,2006-02-05,2006-02-05
2006,1,2006-09-07,2006-09-11
2006,2,2006-09-17,2006-09-18
2006,3,2006-09-24,2006-09-25
2006,4,2006-10-01,2006-10-02
2006,5,2006-10-08,2006-10-09
2006,6,2006-10-15,2006-10-16
2006,7,2006-10-22,2006-10-23
2006,8,2006-10-29,2006-10-30
2006,9,2006-11-05,2006-11-06
2006,10,2006-11-12,2006-11-13
2006,11,2006-11-19,2006-11-20
2006,12,2006-11-23,2006-11-27
2006,13,2006-11-30,2006-12-04
2006,14,2006-12-07,2006-12-11
2006,15,2006-12-14,2006-12-18
2006,16,2006-12-21,2006-12-25
2006,17,2006-12-30,2006-12-31
2006,18,2007-01-06,2007-01-07
2006,19,2007-01-13,2007-01-14
2006,20,2007-01-21,2007-01-21
2006,21,2007-02-04,2007-02-04
2007,1,2007-09-06,2007-09-10
2007,2,2007-09-16,2007-09-17
2007,3,2007-09-23,2007-09-24
2007,4,2007-09-30,2007-10-01
2007,5,2007-10-07,2007-10-08
2007,6,2007-10-14,2007-10-15
2007,7,2007-10-21,2007-10-22
2007,8,2007-10-28,2007-10-29
2007,9,2007-11-04,2007-11-05
2007,10,2007-11-11,2007-11-12
2007,11,2007-11-18,2007-11-19
2007,12,2007-11-22,2007-11-26
2007,13,2007-11-29,2007-12-03
2007,14,2007-12-06,2007-12-10
2007,15,2007-12-13,2007-12-17
2007,16,2007-12-20,2007-12-24
2007,17,2007-12-29,2007-12-30
2007,18,2008-01-05,2008-01-06
