,season,week,team,stat,data
0,2019,21,Baltimore,average-scoring-margin,13.7
1,2019,21,San Francisco,average-scoring-margin,11.3
2,2019,21,New England,average-scoring-margin,11.1
3,2019,21,Kansas City,average-scoring-margin,9.7
4,2019,21,Dallas,average-scoring-margin,7.1
5,2019,21,New Orleans,average-scoring-margin,6.5
6,2019,21,Minnesota,average-scoring-margin,5.2
7,2019,21,Tennessee,average-scoring-margin,4.4
8,2019,21,Buffalo,average-scoring-margin,3.1
9,2019,21,Green Bay,average-scoring-margin,2.8
10,2019,21,LA Rams,average-scoring-margin,1.9
11,2019,21,Philadelphia,average-scoring-margin,1.4
12,2019,21,Tampa Bay,average-scoring-margin,0.6
13,2019,21,Seattle,average-scoring-margin,0.6
14,2019,21,LA Chargers,average-scoring-margin,-0.5
15,2019,21,Indianapolis,average-scoring-margin,-0.8
16,2019,21,Pittsburgh,average-scoring-margin,-0.9
17,2019,21,Atlanta,average-scoring-margin,-1.1
18,2019,21,Chicago,average-scoring-margin,-1.1
19,2019,21,Houston,average-scoring-margin,-1.3
20,2019,21,Denver,average-scoring-margin,-2.1
21,2019,21,Cleveland,average-scoring-margin,-3.6
22,2019,21,Arizona,average-scoring-margin,-5.1
23,2019,21,Detroit,average-scoring-margin,-5.1
24,2019,21,NY Jets,average-scoring-margin,-5.2
25,2019,21,Jacksonville,average-scoring-margin,-6.1
26,2019,21,Las Vegas,average-scoring-margin,-6.6
27,2019,21,NY Giants,average-scoring-margin,-6.9
28,2019,21,Carolina,average-scoring-margin,-8.1
29,2019,21,Cincinnati,average-scoring-margin,-8.8
30,2019,21,Washington,average-scoring-margin,-10.6
31,2019,21,Miami,average-scoring-margin,-11.8
32,2019,21,Kansas City,points-per-play,0.49
33,2019,21,San Francisco,points-per-play,0.48
34,2019,21,Baltimore,points-per-play,0.47
35,2019,21,New Orleans,points-per-play,0.449
36,2019,21,Tennessee,points-per-play,0.424
37,2019,21,Tampa Bay,points-per-play,0.422
38,2019,21,Minnesota,points-per-play,0.407
39,2019,21,Dallas,points-per-play,0.406
40,2019,21,Seattle,points-per-play,0.383
41,2019,21,New England,points-per-play,0.375
42,2019,21,LA Rams,points-per-play,0.373
43,2019,21,Green Bay,points-per-play,0.373
44,2019,21,Houston,points-per-play,0.372
45,2019,21,Arizona,points-per-play,0.361
46,2019,21,Indianapolis,points-per-play,0.355
47,2019,21,Atlanta,points-per-play,0.348
48,2019,21,Cleveland,points-per-play,0.344
49,2019,21,Philadelphia,points-per-play,0.338
50,2019,21,LA Chargers,points-per-play,0.338
51,2019,21,NY Giants,points-per-play,0.337
52,2019,21,Detroit,points-per-play,0.334
53,2019,21,Las Vegas,points-per-play,0.316
54,2019,21,Carolina,points-per-play,0.316
55,2019,21,Pittsburgh,points-per-play,0.308
56,2019,21,Buffalo,points-per-play,0.303
57,2019,21,Washington,points-per-play,0.301
58,2019,21,Miami,points-per-play,0.299
59,2019,21,Denver,points-per-play,0.296
60,2019,21,Jacksonville,points-per-play,0.294
61,2019,21,NY Jets,points-per-play,0.289
62,2019,21,Chicago,points-per-play,0.275
63,2019,21,Cincinnati,points-per-play,0.266
64,2019,21,Kansas City,points-per-play-margin,0.182
65,2019,21,San Francisco,points-per-play-margin,0.163
66,2019,21,Baltimore,points-per-play-margin,0.151
67,2019,21,New England,points-per-play-margin,0.131
68,2019,21,Tennessee,points-per-play-margin,0.117
69,2019,21,Minnesota,points-per-play-margin,0.109
