,season,week,team,stat,data
0,2006,21,Chicago,average-scoring-margin,11.1
1,2006,21,LA Chargers,average-scoring-margin,10.9
2,2006,21,New England,average-scoring-margin,8.8
3,2006,21,Baltimore,average-scoring-margin,8.4
4,2006,21,Jacksonville,average-scoring-margin,6.1
5,2006,21,Indianapolis,average-scoring-margin,5.0
6,2006,21,Dallas,average-scoring-margin,4.4
7,2006,21,Philadelphia,average-scoring-margin,3.9
8,2006,21,New Orleans,average-scoring-margin,3.8
9,2006,21,Cincinnati,average-scoring-margin,2.6
10,2006,21,Pittsburgh,average-scoring-margin,2.4
11,2006,21,Denver,average-scoring-margin,0.9
12,2006,21,Kansas City,average-scoring-margin,0.1
13,2006,21,NY Jets,average-scoring-margin,0.0
14,2006,21,Seattle,average-scoring-margin,-0.4
15,2006,21,NY Giants,average-scoring-margin,-0.6
16,2006,21,Buffalo,average-scoring-margin,-0.7
17,2006,21,LA Rams,average-scoring-margin,-0.9
18,2006,21,Miami,average-scoring-margin,-1.4
19,2006,21,Carolina,average-scoring-margin,-2.2
20,2006,21,Atlanta,average-scoring-margin,-2.3
21,2006,21,Minnesota,average-scoring-margin,-2.8
22,2006,21,Green Bay,average-scoring-margin,-4.1
23,2006,21,Washington,average-scoring-margin,-4.3
24,2006,21,Arizona,average-scoring-margin,-4.7
25,2006,21,Tennessee,average-scoring-margin,-4.8
26,2006,21,Detroit,average-scoring-margin,-5.8
27,2006,21,Houston,average-scoring-margin,-6.2
28,2006,21,San Francisco,average-scoring-margin,-7.1
29,2006,21,Cleveland,average-scoring-margin,-7.4
30,2006,21,Tampa Bay,average-scoring-margin,-8.9
31,2006,21,Las Vegas,average-scoring-margin,-10.3
32,2006,21,LA Chargers,points-per-play,0.473
33,2006,21,Dallas,points-per-play,0.415
34,2006,21,Chicago,points-per-play,0.415
35,2006,21,Indianapolis,points-per-play,0.407
36,2006,21,Philadelphia,points-per-play,0.403
37,2006,21,New England,points-per-play,0.381
38,2006,21,Cincinnati,points-per-play,0.375
39,2006,21,Jacksonville,points-per-play,0.375
40,2006,21,New Orleans,points-per-play,0.375
41,2006,21,NY Giants,points-per-play,0.353
42,2006,21,LA Rams,points-per-play,0.345
43,2006,21,Tennessee,points-per-play,0.343
44,2006,21,Pittsburgh,points-per-play,0.339
45,2006,21,Baltimore,points-per-play,0.336
46,2006,21,Buffalo,points-per-play,0.334
47,2006,21,Denver,points-per-play,0.328
48,2006,21,San Francisco,points-per-play,0.325
49,2006,21,Kansas City,points-per-play,0.323
50,2006,21,Seattle,points-per-play,0.322
51,2006,21,Detroit,points-per-play,0.317
52,2006,21,Arizona,points-per-play,0.314
53,2006,21,Washington,points-per-play,0.314
54,2006,21,NY Jets,points-per-play,0.309
55,2006,21,Atlanta,points-per-play,0.292
56,2006,21,Houston,points-per-play,0.28
57,2006,21,Green Bay,points-per-play,0.277
58,2006,21,Minnesota,points-per-play,0.275
59,2006,21,Carolina,points-per-play,0.272
60,2006,21,Cleveland,points-per-play,0.254
61,2006,21,Miami,points-per-play,0.251
62,2006,21,Tampa Bay,points-per-play,0.217
63,2006,21,Las Vegas,points-per-play,0.177
64,2006,21,LA Chargers,points-per-play-margin,0.164
65,2006,21,Chicago,points-per-play-margin,0.161
66,2006,21,Baltimore,points-per-play-margin,0.121
67,2006,21,New England,points-per-play-margin,0.111
68,2006,21,Jacksonville,points-per-play-margin,0.095
69,2006,21,Philadelphia,points-per-play-margin,0.087
70,2006,21,Dallas,points-per-play-margin,0.059
71,2006,21,Cincinnati,points-per-play-margin,0.056
72,2006,21,Indianapolis,points-per-play-margin,0.04
73,2006,21,Buffalo,points-per-play-margin,0.032
74,2006,21,Denver,points-per-play-margin,0.029
75,2006,21,Pittsburgh,points-per-play-margin,0.016
76,2006,21,Kansas City,points-per-play-margin,0.01
77,2006,21,NY Giants,points-per-play-margin,0.01
78,2006,21,New Orleans,points-per-play-margin,0.009
79,2006,21,NY Jets,points-per-play-margin,0.006
80,2006,21,Seattle,points-per-play-margin,-0.025
81,2006,21,Miami,points-per-play-margin,-0.03
82,2006,21,Tennessee,points-per-play-margin,-0.034
83,2006,21,Carolina,points-per-play-margin,-0.036
84,2006,21,Atlanta,points-per-play-margin,-0.038
85,2006,21,LA Rams,points-per-play-margin,-0.051
86,2006,21,Minnesota,points-per-play-margin,-0.06
87,2006,21,Washington,points-per-play-margin,-0.064
88,2006,21,Arizona,points-per-play-margin,-0.067
89,2006,21,Detroit,points-per-play-margin,-0.069
90,2006,21,San Francisco,points-per-play-margin,-0.077
91,2006,21,Green Bay,points-per-play-margin,-0.088
92,2006,21,Cleveland,points-per-play-margin,-0.088
93,2006,21,Houston,points-per-play-margin,-0.095
94,2006,21,Tampa Bay,points-per-play-margin,-0.131
95,2006,21,Las Vegas,points-per-play-margin,-0.16
96,2006,21,LA Chargers,touchdowns-per-game,3.6
97,2006,21,Dallas,touchdowns-per-game,3.2
98,2006,21,New Orleans,touchdowns-per-game,3.0
99,2006,21,Chicago,touchdowns-per-game,3.0
100,2006,21,Philadelphia,touchdowns-per-game,3.0
101,2006,21,Indianapolis,touchdowns-per-game,2.9
102,2006,21,New England,touchdowns-per-game,2.9
103,2006,21,Cincinnati,touchdowns-per-game,2.7
104,2006,21,Pittsburgh,touchdowns-per-game,2.6
105,2006,21,Jacksonville,touchdowns-per-game,2.6
106,2006,21,NY Giants,touchdowns-per-game,2.5
107,2006,21,LA Rams,touchdowns-per-game,2.4
108,2006,21,Seattle,touchdowns-per-game,2.3
109,2006,21,Tennessee,touchdowns-per-game,2.3
110,2006,21,Kansas City,touchdowns-per-game,2.2
111,2006,21,Baltimore,touchdowns-per-game,2.2
112,2006,21,Washington,touchdowns-per-game,2.1
113,2006,21,Denver,touchdowns-per-game,2.1
114,2006,21,NY Jets,touchdowns-per-game,2.1
115,2006,21,Arizona,touchdowns-per-game,2.1
116,2006,21,Buffalo,touchdowns-per-game,2.1
117,2006,21,Minnesota,touchdowns-per-game,2.0
118,2006,21,Atlanta,touchdowns-per-game,2.0
119,2006,21,Green Bay,touchdowns-per-game,2.0
120,2006,21,Detroit,touchdowns-per-game,1.9
121,2006,21,San Francisco,touchdowns-per-game,1.9
122,2006,21,Houston,touchdowns-per-game,1.9
123,2006,21,Carolina,touchdowns-per-game,1.8
124,2006,21,Miami,touchdowns-per-game,1.6
125,2006,21,Cleveland,touchdowns-per-game,1.6
126,2006,21,Tampa Bay,touchdowns-per-game,1.4
127,2006,21,Las Vegas,touchdowns-per-game,1.0
128,2006,21,New England,red-zone-scoring-attempts-per-game,3.9
129,2006,21,Indianapolis,red-zone-scoring-attempts-per-game,3.9
130,2006,21,LA Chargers,red-zone-scoring-attempts-per-game,3.8
131,2006,21,Dallas,red-zone-scoring-attempts-per-game,3.6
132,2006,21,Pittsburgh,red-zone-scoring-attempts-per-game,3.5
133,2006,21,Arizona,red-zone-scoring-attempts-per-game,3.4
134,2006,21,LA Rams,red-zone-scoring-attempts-per-game,3.4
135,2006,21,New Orleans,red-zone-scoring-attempts-per-game,3.3
136,2006,21,Cincinnati,red-zone-scoring-attempts-per-game,3.3
137,2006,21,Jacksonville,red-zone-scoring-attempts-per-game,3.3
138,2006,21,NY Giants,red-zone-scoring-attempts-per-game,3.2
139,2006,21,Chicago,red-zone-scoring-attempts-per-game,3.2
